data_id,Sequence Length
1,1290
2,1520
3,2996
4,2798
5,3066
6,2763
7,2974
8,2043
9,2930
10,2670
11,2658
12,2863
13,2771
14,2819
15,2439
16,2705
17,2842
18,2661
19,2728
20,2194
21,2494
22,2368
23,2416
24,2363
25,2348
26,2342
27,2352
28,2400
29,2306
30,2404
31,2333
32,2399
33,2335
34,2461
35,2245
36,2585
37,2805
38,2756
39,2694
40,2771
41,2732
42,2631
43,2699
44,2738
45,2523
46,2492
47,2525
48,2508
49,2543
50,2371
51,2344
52,2467
53,2359
54,2399
55,2293
56,2095
57,2250
58,2231
59,2287
60,2225
61,2259
62,2049
63,2061
64,2096
65,2093
66,2056
67,1848
68,2835
69,2915
70,2838
71,2686
72,2810
73,2479
74,2837
75,2703
76,2712
77,2751
78,2734
79,2724
80,2751
81,2653
82,2654
83,2724
84,2824
85,2371
86,2889
87,2997
88,3024
89,3288
90,2854
91,2866
92,2733
93,2827
94,2673
95,2604
96,2829
97,2496
98,2559
99,2368
100,2330
101,2299
102,1645
103,1780
104,2842
105,2758
106,2879
107,2782
108,2924
109,2841
110,2990
111,2730
112,2698
113,2803
114,2786
115,2864
116,2725
117,2669
118,2704
119,2787
120,2545
121,2504
122,2305
123,2345
124,2332
125,2351
126,2313
127,2245
128,2395
129,2309
130,2413
131,2341
132,2385
133,2315
134,3225
135,2944
136,2916
137,3091
138,2702
139,2717
140,2748
141,2677
142,2691
143,2601
144,2540
145,2490
146,2555
147,2697
148,2401
149,2283
150,2318
151,2416
152,2330
153,2370
154,2220
155,2242
156,2224
157,2274
158,2190
159,2205
160,2078
161,2128
162,2171
163,1630
164,1599
165,3104
166,2981
167,2926
168,3074
169,3156
170,1360
171,3079
172,2634
173,2633
174,2709
175,2649
176,2840
177,2689
178,2699
179,2642
180,2823
181,2721
182,2288
183,2295
184,2230
185,2287
186,2211
187,2379
188,2246
189,2637
190,2557
191,2360
192,2330
193,2315
194,2214
195,2242
196,2756
197,2686
198,3020
199,2735
200,2736
201,2531
202,2458
203,2412
204,2553
205,2348
206,2313
207,2364
208,2598
209,2270
210,2200
211,2199
212,2124
213,2227
214,2319
215,2191
216,2118
217,2082
218,2038
219,2041
220,2041
221,1993
222,1965
223,1848
224,2972
225,2804
226,2745
227,2805
228,2774
229,2781
230,2759
231,2792
232,2797
233,2656
234,2397
235,2286
236,2346
237,2379
238,2354
239,2318
240,2379
241,2469
242,2375
243,2310
244,2358
245,1672
246,1712
247,2975
248,2887
249,2771
250,2851
251,3037
252,2835
253,3077
254,3147
255,3003
256,2874
257,2556
258,2601
259,2608
260,2791
261,2844
262,2556
263,2567
264,2388
265,2446
266,2370
267,2270
268,2286
269,2276
270,2353
271,2333
272,2355
273,2208
274,2233
275,2196
276,2329
277,2098
278,2240
279,2067
280,2066
281,2108
282,2142
283,2090
284,2117
285,2105
286,2181
287,2085
288,1955
289,1963
290,2088
291,2113
292,2095
293,2002
294,2141
295,2119
296,2093
297,2119
298,2854
299,2710
300,2832
301,2696
302,2723
303,2755
304,2679
305,2796
306,2747
307,2677
308,2327
309,2248
310,2234
311,2247
312,1531
313,1741
314,2757
315,2955
316,2634
317,2385
318,2780
319,2742
320,2947
321,2958
322,3065
323,2934
324,2851
325,2760
326,2790
327,2794
328,2826
329,2585
330,2545
331,2542
332,2485
333,2538
334,2356
335,2379
336,2393
337,2360
338,2382
339,2208
340,2217
341,2217
342,2320
343,2258
344,2207
345,2126
346,2771
347,2557
348,2618
349,2705
350,2698
351,2758
352,2682
353,2470
354,2666
355,2552
356,2251
357,2158
358,2154
359,2210
360,2164
361,2244
362,2183
363,2291
364,2262
365,2188
366,1710
367,1686
368,2913
369,2826
370,2845
371,2793
372,2767
373,2887
374,2453
375,2213
376,2550
377,2404
378,2341
379,2366
380,2311
381,2333
382,2373
383,1934
384,2081
385,2061
386,2092
387,2150
388,1900
389,1906
390,1870
391,1895
392,1812
393,1968
394,2334
395,1860
396,1808
397,1877
398,1991
399,2659
400,2554
401,2740
402,2633
403,2724
404,2663
405,2634
406,2695
407,2513
408,2696
409,2296
410,2266
411,2180
412,2238
413,1343
414,1431
415,1611
416,2750
417,2763
418,2767
419,2827
420,2515
421,2706
422,3109
423,2930
424,2859
425,2800
426,2472
427,2353
428,2322
429,2276
430,2600
431,2335
432,2383
433,2318
434,2544
435,2493
436,2304
437,2377
438,2319
439,2265
440,2310
441,2287
442,2760
443,2807
444,2708
445,2648
446,2699
447,2672
448,2762
449,2654
450,2709
451,2725
452,2232
453,2294
454,2327
455,2359
456,2267
457,2348
458,2259
459,2301
460,1660
461,1766
462,2826
463,2596
464,2623
465,2626
466,2939
467,2966
468,3125
469,2834
470,3003
471,2866
472,2762
473,2683
474,2810
475,2558
476,2569
477,2509
478,2420
479,2491
480,2497
481,2625
482,2267
483,2226
484,2362
485,2133
486,2378
487,2314
488,2331
489,2200
490,2171
491,2230
492,2108
493,2214
494,2033
495,2144
496,1363
497,1522
498,2818
499,2824
500,2810
501,3000
502,2796
503,2759
504,2913
505,2718
506,2807
507,2740
508,2743
509,2665
510,2668
511,2590
512,2695
513,2429
514,2229
515,2224
